"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous fixes","Number of previous modifications","Number of bugs"
"L111","ActiveTestSuite.java","src/main/java/junit/extensions/ActiveTestSuite.java","L110","3","0","52","4","104","0","6","0"
"L112","package-info.java","src/main/java/junit/extensions/package-info.java","L110","1","0","1","0","0","0","1","0"
"L113","RepeatedTest.java","src/main/java/junit/extensions/RepeatedTest.java","L110","4","0","30","4","104","0","6","0"
"L114","TestDecorator.java","src/main/java/junit/extensions/TestDecorator.java","L110","1","0","26","4","104","0","6","0"
"L115","TestSetup.java","src/main/java/junit/extensions/TestSetup.java","L110","1","0","24","4","104","0","6","0"
"L278","Assert.java","src/main/java/junit/framework/Assert.java","L277","23","0","161","12","107","0","31","0"
"L279","AssertionFailedError.java","src/main/java/junit/framework/AssertionFailedError.java","L277","2","0","12","7","107","0","12","0"
"L280","ComparisonCompactor.java","src/main/java/junit/framework/ComparisonCompactor.java","L277","13","0","65","4","104","0","6","0"
"L281","ComparisonFailure.java","src/main/java/junit/framework/ComparisonFailure.java","L277","1","0","22","4","104","0","6","0"
"L282","JUnit4TestAdapter.java","src/main/java/junit/framework/JUnit4TestAdapter.java","L277","4","0","67","5","104","0","15","0"
"L283","JUnit4TestAdapterCache.java","src/main/java/junit/framework/JUnit4TestAdapterCache.java","L277","7","0","66","4","104","0","12","0"
"L284","JUnit4TestCaseFacade.java","src/main/java/junit/framework/JUnit4TestCaseFacade.java","L277","1","0","23","4","104","0","6","0"
"L285","package-info.java","src/main/java/junit/framework/package-info.java","L277","1","0","1","0","0","0","1","0"
"L286","Protectable.java","src/main/java/junit/framework/Protectable.java","L277","1","0","4","4","104","0","6","0"
"L287","Test.java","src/main/java/junit/framework/Test.java","L277","1","0","5","4","104","0","6","0"
"L288","TestCase.java","src/main/java/junit/framework/TestCase.java","L277","9","0","230","5","104","0","8","0"
"L289","TestFailure.java","src/main/java/junit/framework/TestFailure.java","L277","1","0","33","7","107","0","11","0"
"L290","TestListener.java","src/main/java/junit/framework/TestListener.java","L277","1","0","7","6","134","0","8","0"
"L291","TestResult.java","src/main/java/junit/framework/TestResult.java","L277","9","0","101","8","120","0","10","0"
"L292","TestSuite.java","src/main/java/junit/framework/TestSuite.java","L277","25","0","183","13","134","1","25","0"
"L1370","BaseTestRunner.java","src/main/java/junit/runner/BaseTestRunner.java","L1369","32","0","243","8","134","0","16","0"
"L1371","package-info.java","src/main/java/junit/runner/package-info.java","L1369","1","0","1","0","0","0","1","0"
"L1372","TestRunListener.java","src/main/java/junit/runner/TestRunListener.java","L1369","1","0","11","4","104","0","6","0"
"L1373","Version.java","src/main/java/junit/runner/Version.java","L1369","1","0","11","9","104","1","82","0"
"L1591","package-info.java","src/main/java/junit/textui/package-info.java","L1590","1","0","1","0","0","0","1","0"
"L1592","ResultPrinter.java","src/main/java/junit/textui/ResultPrinter.java","L1590","7","0","93","6","134","0","8","0"
"L1593","TestRunner.java","src/main/java/junit/textui/TestRunner.java","L1590","13","0","127","9","134","0","12","0"
"L2846","After.java","src/main/java/org/junit/After.java","L2845","1","0","9","10","25","0","16","0"
"L2847","AfterClass.java","src/main/java/org/junit/AfterClass.java","L2845","1","0","9","11","25","0","20","0"
"L2848","Assert.java","src/main/java/org/junit/Assert.java","L2845","30","0","316","21","120","5","82","0"
"L2849","Assume.java","src/main/java/org/junit/Assume.java","L2845","4","0","40","11","120","0","38","0"
"L2850","AssumptionViolatedException.java","src/main/java/org/junit/AssumptionViolatedException.java","L2845","1","0","18","4","120","0","4","0"
"L2851","Before.java","src/main/java/org/junit/Before.java","L2845","1","0","9","10","25","0","18","0"
"L2852","BeforeClass.java","src/main/java/org/junit/BeforeClass.java","L2845","1","0","9","11","107","0","18","0"
"L2853","ClassRule.java","src/main/java/org/junit/ClassRule.java","L2845","1","0","9","11","25","0","42","0"
"L2854","ComparisonFailure.java","src/main/java/org/junit/ComparisonFailure.java","L2845","10","0","98","10","122","0","19","0"
"L2855","FixMethodOrder.java","src/main/java/org/junit/FixMethodOrder.java","L2845","1","0","11","11","120","0","18","0"
"L2856","Ignore.java","src/main/java/org/junit/Ignore.java","L2845","1","0","10","10","120","0","15","0"
"L2857","package-info.java","src/main/java/org/junit/package-info.java","L2845","1","0","1","4","104","0","6","0"
"L2858","Rule.java","src/main/java/org/junit/Rule.java","L2845","1","0","9","12","5","0","36","0"
"L2859","Test.java","src/main/java/org/junit/Test.java","L2845","1","0","16","14","5","0","23","0"
"L3417","ParallelComputer.java","src/main/java/org/junit/experimental/ParallelComputer.java","L3416","5","0","55","6","104","0","28","0"
"L4921","ArrayComparisonFailure.java","src/main/java/org/junit/internal/ArrayComparisonFailure.java","L4920","3","0","37","9","122","0","14","0"
"L4922","AssumptionViolatedException.java","src/main/java/org/junit/internal/AssumptionViolatedException.java","L4920","6","0","59","10","120","0","19","0"
"L4923","Classes.java","src/main/java/org/junit/internal/Classes.java","L4920","1","0","7","2","122","0","2","0"
"L4924","ComparisonCriteria.java","src/main/java/org/junit/internal/ComparisonCriteria.java","L4920","13","0","54","7","122","0","16","0"
"L4925","ExactComparisonCriteria.java","src/main/java/org/junit/internal/ExactComparisonCriteria.java","L4920","1","0","8","4","104","0","9","0"
"L4926","InexactComparisonCriteria.java","src/main/java/org/junit/internal/InexactComparisonCriteria.java","L4920","2","0","19","7","104","3","16","0"
"L4927","JUnitSystem.java","src/main/java/org/junit/internal/JUnitSystem.java","L4920","1","0","7","10","107","0","15","0"
"L4928","MethodSorter.java","src/main/java/org/junit/internal/MethodSorter.java","L4920","6","0","42","13","107","0","32","0"
"L4929","RealSystem.java","src/main/java/org/junit/internal/RealSystem.java","L4920","1","0","11","10","107","0","15","0"
"L4930","TextListener.java","src/main/java/org/junit/internal/TextListener.java","L4920","6","0","76","4","104","0","13","0"
"L4931","Throwables.java","src/main/java/org/junit/internal/Throwables.java","L4920","1","0","13","2","122","0","3","0"
"L6536","JUnitMatchers.java","src/main/java/org/junit/matchers/JUnitMatchers.java","L6535","1","0","46","8","104","0","46","0"
"L6537","package-info.java","src/main/java/org/junit/matchers/package-info.java","L6535","1","0","1","1","20","0","3","0"
"L6609","DisableOnDebug.java","src/main/java/org/junit/rules/DisableOnDebug.java","L6608","5","0","38","2","107","0","2","0"
"L6610","ErrorCollector.java","src/main/java/org/junit/rules/ErrorCollector.java","L6608","2","0","36","9","1","0","21","0"
"L6611","ExpectedException.java","src/main/java/org/junit/rules/ExpectedException.java","L6608","4","0","87","15","120","3","72","0"
"L6612","ExpectedExceptionMatcherBuilder.java","src/main/java/org/junit/rules/ExpectedExceptionMatcherBuilder.java","L6608","2","0","32","6","104","0","9","0"
"L6613","ExternalResource.java","src/main/java/org/junit/rules/ExternalResource.java","L6608","1","0","25","8","120","0","27","0"
"L6614","MethodRule.java","src/main/java/org/junit/rules/MethodRule.java","L6608","1","0","7","12","122","0","23","0"
"L6615","RuleChain.java","src/main/java/org/junit/rules/RuleChain.java","L6608","2","0","32","9","104","0","17","0"
"L6616","RunRules.java","src/main/java/org/junit/rules/RunRules.java","L6608","2","0","20","6","104","0","10","0"
"L6617","Stopwatch.java","src/main/java/org/junit/rules/Stopwatch.java","L6608","3","0","72","5","134","0","18","0"
"L6618","TemporaryFolder.java","src/main/java/org/junit/rules/TemporaryFolder.java","L6608","10","0","93","17","107","2","47","0"
"L6619","TestName.java","src/main/java/org/junit/rules/TestName.java","L6608","1","0","12","6","104","0","14","0"
"L6620","TestRule.java","src/main/java/org/junit/rules/TestRule.java","L6608","1","0","6","6","104","0","21","0"
"L6621","TestWatcher.java","src/main/java/org/junit/rules/TestWatcher.java","L6608","9","0","94","14","134","2","45","0"
"L6622","TestWatchman.java","src/main/java/org/junit/rules/TestWatchman.java","L6608","3","0","35","10","134","2","23","0"
"L6623","Timeout.java","src/main/java/org/junit/rules/Timeout.java","L6608","2","0","85","15","120","0","49","0"
"L6624","Verifier.java","src/main/java/org/junit/rules/Verifier.java","L6608","1","0","16","12","25","0","30","0"
"L7381","Computer.java","src/main/java/org/junit/runner/Computer.java","L7380","1","0","21","6","104","0","17","0"
"L7382","Describable.java","src/main/java/org/junit/runner/Describable.java","L7380","1","0","4","6","104","0","12","0"
"L7383","Description.java","src/main/java/org/junit/runner/Description.java","L7380","14","0","146","19","122","2","72","0"
"L7384","FilterFactories.java","src/main/java/org/junit/runner/FilterFactories.java","L7380","4","0","44","5","107","0","9","0"
"L7385","FilterFactory.java","src/main/java/org/junit/runner/FilterFactory.java","L7380","1","0","10","4","120","0","15","0"
"L7386","FilterFactoryParams.java","src/main/java/org/junit/runner/FilterFactoryParams.java","L7380","3","0","18","3","107","0","12","0"
"L7387","JUnitCommandLineParseResult.java","src/main/java/org/junit/runner/JUnitCommandLineParseResult.java","L7380","14","0","103","5","107","0","6","0"
"L7388","JUnitCore.java","src/main/java/org/junit/runner/JUnitCore.java","L7380","2","0","65","13","122","0","54","0"
"L7389","package-info.java","src/main/java/org/junit/runner/package-info.java","L7380","1","0","1","0","0","0","1","0"
"L7390","Request.java","src/main/java/org/junit/runner/Request.java","L7380","2","0","55","10","107","0","40","0"
"L7391","Result.java","src/main/java/org/junit/runner/Result.java","L7380","1","0","136","13","107","2","42","0"
"L7392","Runner.java","src/main/java/org/junit/runner/Runner.java","L7380","1","0","9","7","120","0","18","0"
"L7393","RunWith.java","src/main/java/org/junit/runner/RunWith.java","L7380","1","0","12","6","104","0","13","0"
"L8578","AllTests.java","src/main/java/org/junit/runners/AllTests.java","L8577","1","0","7","6","104","0","11","0"
"L8579","BlockJUnit4ClassRunner.java","src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java","L8577","20","0","234","19","107","5","131","0"
