Variavel,WMC,CBO,LCOM5,DIT,RFC,LOC,NM,WarningInfo,WarningMajor,CD
WMC,1.0,0.402,0.661,0.065,0.888,0.917,0.707,0.645,0.385,0.416
CBO,0.402,1.0,0.354,-0.084,0.537,0.521,0.213,0.451,0.295,0.078
LCOM5,0.661,0.354,1.0,-0.063,0.603,0.597,0.492,0.574,0.459,0.098
DIT,0.065,-0.084,-0.063,1.0,0.036,-0.02,0.526,0.02,-0.122,0.135
RFC,0.888,0.537,0.603,0.036,1.0,0.901,0.632,0.682,0.367,0.384
LOC,0.917,0.521,0.597,-0.02,0.901,1.0,0.597,0.704,0.387,0.424
NM,0.707,0.213,0.492,0.526,0.632,0.597,1.0,0.521,0.283,0.313
WarningInfo,0.645,0.451,0.574,0.02,0.682,0.704,0.521,1.0,0.424,0.082
WarningMajor,0.385,0.295,0.459,-0.122,0.367,0.387,0.283,0.424,1.0,0.071
CD,0.416,0.078,0.098,0.135,0.384,0.424,0.313,0.082,0.071,1.0
