Variavel,WMC,CBO,LCOM5,DIT,RFC,LOC,NM,WarningInfo,WarningMajor,CD
WMC,1.0,0.275,0.538,0.075,0.881,0.939,0.244,0.419,0.292,0.264
CBO,0.275,1.0,0.252,-0.051,0.465,0.378,0.03,0.554,0.45,-0.009
LCOM5,0.538,0.252,1.0,-0.073,0.643,0.534,0.129,0.464,0.269,0.037
DIT,0.075,-0.051,-0.073,1.0,0.071,0.034,0.655,-0.016,-0.021,0.134
RFC,0.881,0.465,0.643,0.071,1.0,0.898,0.283,0.584,0.428,0.212
LOC,0.939,0.378,0.534,0.034,0.898,1.0,0.237,0.482,0.357,0.309
NM,0.244,0.03,0.129,0.655,0.283,0.237,1.0,0.185,0.146,0.097
WarningInfo,0.419,0.554,0.464,-0.016,0.584,0.482,0.185,1.0,0.707,-0.02
WarningMajor,0.292,0.45,0.269,-0.021,0.428,0.357,0.146,0.707,1.0,-0.002
CD,0.264,-0.009,0.037,0.134,0.212,0.309,0.097,-0.02,-0.002,1.0
